measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
180971771,1015679,136174,Pakistan,Aedb,government,aedb.org,104.21.24.155,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Kwai Chung, Kwai Tsing District, HK",handoff 223.120.23.5,True,11,0,110.682,6327 > 38193 > 58453 > 13335,CA > PK > HK > US,2026-06-16T20:12:47.282670
180971778,1015679,136174,Pakistan,Agp,government,agp.gov.pk,203.101.184.86,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Lahore, Punjab, PK",server IP,False,11,6,203.311,6327 > 38193 > 32787,CA > PK > SG > NL > US,2026-06-16T20:13:01.908943
180971785,1015679,136174,Pakistan,Agpr,government,agpr.gov.pk,203.101.184.86,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Lahore, Punjab, PK",server IP,False,11,6,201.391,6327 > 38193 > 32787,CA > PK > SG > NL > US,2026-06-16T20:13:08.559068
180971789,1015679,136174,Pakistan,Ajk,government,ajk.gov.pk,104.21.43.24,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Kwai Chung, Kwai Tsing District, HK",handoff 223.120.23.5,True,11,0,100.601,6327 > 38193 > 58453 > 13335,CA > PK > HK > US,2026-06-16T20:13:09.469782
180971795,1015679,136174,Pakistan,Apbf,government,apbf.com.pk,74.50.90.186,19318,"IS-AS-1 - Interserver, Inc, US",US,"Englewood Cliffs, New Jersey, US",server IP,True,15,1,228.937,6327 > 38193 > 174 > 19318,CA > PK > US,2026-06-16T20:13:12.982031
180971803,1015679,136174,Pakistan,Apcl,government,apcl.com.pk,89.117.27.31,47583,"AS-HOSTINGER - Hostinger International Limited, CY",LT,"Mumbai, Maharashtra, IN",server IP,False,10,6,177.672,6327 > 38193 > 9498 > 47583,CA > PK > SG > IN > LT,2026-06-16T20:13:25.534137
180971807,1015679,136174,Pakistan,Aviation,government,aviation.gov.pk,203.101.184.86,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Lahore, Punjab, PK",server IP,False,11,6,202.468,6327 > 38193 > 32787,CA > PK > SG > NL > US,2026-06-16T20:13:35.494506
180971815,1015679,136174,Pakistan,Balochistan,government,balochistan.gov.pk,104.21.7.125,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Kwai Chung, Kwai Tsing District, HK",handoff 223.120.23.5,True,11,0,111.086,6327 > 38193 > 58453 > 13335,CA > PK > HK > US,2026-06-16T20:13:36.562856
180971820,1015679,136174,Pakistan,Bharat Rakshak,government,bharat-rakshak.com,52.20.199.24,14618,"AMAZON-AES - Amazon.com, Inc., US",US,"Ashburn, Virginia, US",server IP,False,9,7,209.426,6327 > 38193 > 174,CA > PK > US,2026-06-16T20:13:38.847819
180971827,1015679,136174,Pakistan,Bhc,government,bhc.gov.pk,45.60.98.9,19551,"INCAPSULA - Incapsula Inc, US",US,"Montreal, Quebec, CA",handoff 38.104.254.2,True,15,1,230.125,6327 > 38193 > 174 > 19551,CA > PK > US > NL,2026-06-16T20:13:44.516626
180971836,1015679,136174,Pakistan,Bisp,government,bisp.gov.pk,172.67.190.163,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,"Kwai Chung, Kwai Tsing District, HK",handoff 223.120.23.5,True,11,0,1025.749,6327 > 38193 > 58453 > 13335,CA > PK > HK > US,2026-06-16T20:13:52.528442
180971840,1015679,136174,Pakistan,Bjp,government,bjp.org,23.52.40.16,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",US,"Karachi, Sindh, PK",handoff 110.93.192.129,True,14,0,193.86,6327 > 38193 > 20940,CA > PK > US,2026-06-16T20:13:54.381113
180972229,62224,38193,Pakistan,Aedb,government,aedb.org,104.21.24.155,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,,,True,3,5,103.955,13335,US,2026-06-16T20:14:04.383375
180972236,62224,38193,Pakistan,Agp,government,agp.gov.pk,203.101.184.86,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Lahore, Punjab, PK",server IP,False,2,6,1.587,,,2026-06-16T20:14:05.324248
180972242,62224,38193,Pakistan,Agpr,government,agpr.gov.pk,203.101.184.86,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Lahore, Punjab, PK",server IP,False,2,6,1.719,,,2026-06-16T20:14:06.333798
180972252,62224,38193,Pakistan,Ajk,government,ajk.gov.pk,104.21.43.24,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,,,True,3,5,103.563,13335,US,2026-06-16T20:14:07.283644
180972264,62224,38193,Pakistan,Apbf,government,apbf.com.pk,74.50.90.186,19318,"IS-AS-1 - Interserver, Inc, US",US,"Englewood Cliffs, New Jersey, US",server IP,True,3,5,210.717,19318,US,2026-06-16T20:14:08.381114
180972267,62224,38193,Pakistan,Apcl,government,apcl.com.pk,89.117.27.31,47583,"AS-HOSTINGER - Hostinger International Limited, CY",LT,"Mumbai, Maharashtra, IN",server IP,True,3,5,160.731,47583,LT,2026-06-16T20:14:09.323101
180972278,62224,38193,Pakistan,Aviation,government,aviation.gov.pk,203.101.184.86,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Lahore, Punjab, PK",server IP,False,2,6,0.941,,,2026-06-16T20:14:10.529390
180972283,62224,38193,Pakistan,Balochistan,government,balochistan.gov.pk,104.21.7.125,13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,,,True,3,5,99.492,13335,US,2026-06-16T20:14:11.475916
