probe_id,target,cls,sector,type1,type2
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016393,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016393,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016393,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016393,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016393,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016393,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016393,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016393,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016393,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016393,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1014872,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1015679,careers635.com.pk,Pakistan,Commercial Facilities,local,local
1016036,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,trombone_rtt
1016126,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
1016143,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7613,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64535,careers635.com.pk,Pakistan,Commercial Facilities,inconclusive,inconclusive
64722,careers635.com.pk,Pakistan,Commercial Facilities,local,local
65892,careers635.com.pk,Pakistan,Commercial Facilities,local,local
60223,careers635.com.pk,Pakistan,Commercial Facilities,local,local
62224,careers635.com.pk,Pakistan,Commercial Facilities,local,local
64078,careers635.com.pk,Pakistan,Commercial Facilities,local,local
7764,careers635.com.pk,Pakistan,Commercial Facilities,local,local
