tranco_rank,domain,ip,asn,as_name,netname,second_check,in_pass1
184893,pmyp.gov.pk,43.250.84.153,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,yes
189638,eobi.gov.pk,210.56.16.59,7590,"COMSATS - Commission on Science and Technology for, PK",COMSATS,agree,yes
190668,pieas.edu.pk,111.68.99.215,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,agree,yes
191688,uop.edu.pk,121.52.147.10,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,agree,yes
194171,joinpakarmy.gov.pk,210.56.0.3,NA,NA,COMSATS-PK,agree,no
197122,savings.gov.pk,175.107.33.91,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,no
197389,islamabadpolice.gov.pk,43.250.84.139,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,yes
197753,fesco.com.pk,163.61.25.38,153561,"PITC1-AS-AP - PITC, PK",PITC1-PK,agree,yes
204981,netsolir.com,203.170.71.15,17539,"ASN-NCKHI-AP - NetSol Connect, PK",NetSol-CONNECT,agree,yes
208056,kkn.com.pk,103.115.197.73,152605,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",ACSL-PK,agree,yes
211861,asktech.com.pk,115.186.131.242,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",NAYATEL-PK,agree,no
213313,ahpc.org.pk,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",COMSATS,agree,yes
214259,dakkhana.com.pk,58.65.161.24,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",NAYATEL-PK,agree,yes
214938,gepcoerp.com.pk,119.156.26.74,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCL,agree,yes
215847,lmis.gov.pk,202.83.164.75,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCPKNET,agree,no
216134,mepco-it.com.pk,163.61.25.23,153561,"PITC1-AS-AP - PITC, PK",PITC1-PK,agree,no
216430,nation.net.pk,115.42.65.245,132165,"CONNECT-AS-AP - Connect Communications, PK",CONNECT,agree,yes
216779,pave.gov.pk,103.111.160.216,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PITB-PUNJAB-PK,agree,no
217050,pts.org.pk,175.107.240.161,24440,"CYBERNET-APII - Cyber Internet Services Pakistan, PK",CYBERNET,agree,yes
223403,dunyatv.tv,103.73.234.47,132741,"NCSL-AS-AP - National Communications Services (SMC-Private) Limited, PK",NCSL-PK,agree,yes
223483,na.gov.pk,175.107.60.12,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,yes
224439,4-pc-network.com,203.128.0.1,17911,"BRAINPK-AS-AP - Brain Telecommunication Ltd., PK",BRAINNET-PK,no-answer,no
228173,bisemultan.edu.pk,119.160.107.135,58470,"Mobilink-Peering-AS-PK - IX Peering for Mobilink and Link Direct International., PK",Jazz-North,agree,yes
231183,bisesargodha.edu.pk,223.123.65.114,59257,"CMPAKLIMITED-AS-AP - CMPak Limited, PK",CMPak-Mobile-Fixed-Network,agree,yes
232367,paf.gov.pk,175.107.60.225,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,no
241070,middlehosted.com,182.186.29.56,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCL,agree,no
243698,joinpaf.gov.pk,175.107.33.101,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,yes
244297,bisebwp.pk,221.120.217.252,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCL,agree,yes
247172,uetpeshawar.edu.pk,121.52.147.74,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,agree,yes
248272,brain.net.pk,203.128.7.14,17911,"BRAINPK-AS-AP - Brain Telecommunication Ltd., PK",BRAINNET-PK,agree,yes
256077,blinkbroadband.pk,103.121.121.29,131275,"LBPL-AS-AP - Logon Broadband Pvt. Limited, PK",LBPL-PK,agree,yes
256809,pef.edu.pk,202.83.171.5,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCPKNET,agree,yes
256848,jazzesl.com.pk,115.186.182.194,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",NAYATEL-PK,agree,yes
263201,maju.edu.pk,58.27.134.39,38264,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",WATEEN-TEL,agree,yes
263280,metacubes.net,110.93.208.154,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",TWA,agree,yes
263749,psosahulat.com.pk,202.61.112.30,152647,"PSOCL-AS-AP - Pakistan State Oil Company Limited, PK",PSOCL-PK,agree,yes
266958,super.net.pk,203.130.2.162,24435,"SUPERNET-PAKISTAN-AS-AP - Supernet Limited Transit Autonomous System Number, PK",SUPERNET,agree,yes
276399,pastic.gov.pk,210.56.14.246,7590,"COMSATS - Commission on Science and Technology for, PK",COMSATS,agree,yes
